artist	album	s3_url
(데이식스)	괴물_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-괴물_DAY6_(데이식스).jpg
(데이식스)	그녀가_웃었다_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-그녀가_웃었다_DAY6_(데이식스).jpg
(데이식스)	녹아내려요_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-녹아내려요_DAY6_(데이식스).jpg
(데이식스)	예뻤어_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-예뻤어_DAY6_(데이식스).jpg
(데이식스)	한_페이지가_될_수_있게_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-한_페이지가_될_수_있게_DAY6_(데이식스).jpg
(레드벨벳)	Chill_Kill_Red_Velvet_(레드벨벳)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(레드벨벳)-Chill_Kill_Red_Velvet_(레드벨벳).jpg
(레드벨벳)	Cosmic_Red_Velvet_(레드벨벳)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(레드벨벳)-Cosmic_Red_Velvet_(레드벨벳).jpg
(르세라핌)	CRAZY_LE_SSERAFIM_(르세라핌)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(르세라핌)-CRAZY_LE_SSERAFIM_(르세라핌).jpg
(르세라핌)	EASY_LE_SSERAFIM_(르세라핌)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(르세라핌)-EASY_LE_SSERAFIM_(르세라핌).jpg
(르세라핌)	HOT_LE_SSERAFIM_(르세라핌)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(르세라핌)-HOT_LE_SSERAFIM_(르세라핌).jpg
